Address,Type,Assessed_Value,Stories,Green_SqFt,Est_Cost,Break_Even_Years,UHI_Cooling_kWh,Stormwater_Gal_Yr
2315   LOCUST ST,Green Roof,1739500,2,1993.6499999999999,60885.7,17.45132223380662,4984.125,2990.475
333  S 18TH ST,Green Roof,507500,2,1982.3999999999999,60683.2,17.49198662515854,4956.0,2973.6
1600   GRATIOT ST,Green Roof,563400,1,1970.1,60461.799999999996,17.536977818384855,4925.25,2955.1499999999996
4500  N BROADWAY,Green Roof,803400,1,1963.5,60343.0,17.561351813452653,4908.75,2945.25
5006   SHREVE AV,Green Roof,577400,2,1946.55,60037.9,17.62470598164518,4866.375,2919.825
2710   LAFAYETTE AV,Green Roof,386500,2,1927.9499999999998,59703.1,17.69550929373539,4819.875,2891.9249999999997
3721   LACLEDE AV,Green Roof,932600,2,1902.0,59236.0,17.796605077362177,4755.0,2853.0
5412   HAMPTON AV,Green Roof,297200,1,1897.8,59160.4,17.813227345949446,4744.5,2846.7
3753   WEST PINE MALL,Green Roof,320200,2,1890.0,59020.0,17.8442932728647,4725.0,2835.0
6767   SOUTHWEST AV,Green Roof,795000,2,1870.05,58660.9,17.92492943275008,4675.125,2805.075
1101   OFALLON ST,Green Roof,450700,1,1866.8999999999999,58604.2,17.937818997115155,4667.25,2800.35
301  N TUCKER BLVD,Green Roof,400400,1,1852.5,58345.0,17.997300944669366,4631.25,2778.75
115  N EUCLID AV,Green Roof,338500,1,1848.768524457449,58277.833440234084,18.01286568229416,4621.921311143623,2773.1527866861734
1201   MACKLIND AV,Green Roof,2766400,2,1830.0,57940.0,18.092115534738486,4575.0,2745.0
5723   MANCHESTER AV,Green Roof,324700,1,1830.0,57940.0,18.092115534738486,4575.0,2745.0
100  N JEFFERSON AV,Green Roof,446100,2,1818.0,57724.0,18.143642935722145,4545.0,2727.0
701   MARKET ST,Green Roof,4175200,5,1800.0,57400.0,18.22222222222222,4500.0,2700.0
3100  S GRAND BLVD,Green Roof,342400,1,1800.0,57400.0,18.22222222222222,4500.0,2700.0
1600   DELMAR BLVD,Green Roof,352000,2,1800.0,57400.0,18.22222222222222,4500.0,2700.0
4601   SULPHUR AV,Green Roof,355800,1,1800.0,57400.0,18.22222222222222,4500.0,2700.0
2210  S 7TH BLVD,Green Roof,319400,2,1768.2,56827.600000000006,18.364955483381003,4420.5,2652.3
2838   MARKET ST,Green Roof,772000,2,1764.0,56752.0,18.384191771946874,4410.0,2646.0
2014   EUGENIA ST,Green Roof,2472000,3,1758.0,56644.0,18.41183162684869,4395.0,2637.0
1615  S KINGSHIGHWAY BLVD,Green Roof,784300,1,1757.3999999999999,56633.2,18.414605992618966,4393.5,2636.1
3291  S KINGSHIGHWAY BLVD,Green Roof,950600,1,1757.3999999999999,56633.2,18.414605992618966,4393.5,2636.1
2600   CHOUTEAU AV,Green Roof,482800,1,1740.0,56320.0,18.495894909688012,4350.0,2610.0
2841   GRAVOIS AV,Green Roof,343600,1,1740.0,56320.0,18.495894909688012,4350.0,2610.0
2166   HAMPTON AV,Green Roof,597600,1,1732.2,56179.600000000006,18.53286489517872,4330.5,2598.3
6201   MCKISSOCK AV,Green Roof,2824900,3,1730.1,56141.8,18.542875308611396,4325.25,2595.1499999999996
4361   OLIVE ST,Green Roof,415100,2,1729.05,56122.899999999994,18.547889633861697,4322.625,2593.575
5570   MANCHESTER AV,Green Roof,611500,2,1728.1499999999999,56106.7,18.552192476678197,4320.375,2592.225
7036   CLAYTON AV,Green Roof,1140900,2,1725.1499999999999,56052.7,18.56656771046824,4312.875,2587.725
4822   FYLER AV,Green Roof,530600,1,1722.0,55996.0,18.581715613074497,4305.0,2583.0
3933   CHOUTEAU AV,Green Roof,663500,1,1716.0,55888.0,18.61072261072261,4290.0,2574.0
2836  S JEFFERSON AV,Green Roof,281500,3,1710.0,55780.0,18.639933166248955,4275.0,2565.0
2100   LOCUST ST,Green Roof,382300,2,1674.0,55132.0,18.819593787335723,4185.0,2511.0
3506  S BROADWAY,Green Roof,288000,2,1673.7,55126.600000000006,18.821123430551648,4184.25,2510.55
2185   HAMPTON AV,Green Roof,525000,2,1671.45,55086.100000000006,18.832613257094998,4178.625,2507.175
4140   FOREST PARK AV,Green Roof,973800,3,1665.9999999999998,54988.0,18.860572800548795,4164.999999999999,2498.9999999999995
3225   HAMPTON AV,Green Roof,416400,1,1662.8999999999999,54932.2,18.87655816430848,4157.25,2494.35
3108   LOCUST BLVD,Green Roof,476200,1,1658.3999999999999,54851.2,18.89986906484736,4146.0,2487.6
2801   LOCUST BLVD,Green Roof,301430,2,1637.7,54478.600000000006,19.008749204023065,4094.25,2456.55
2109   LOCUST ST,Green Roof,345600,2,1627.5,54295.0,19.063418915953477,4068.75,2441.25
3839   LINDELL BLVD,Green Roof,441000,2,1623.45,54222.100000000006,19.085316543692226,4058.625,2435.175
5911   HALL ST,Green Roof,288000,1,1620.0,54160.0,19.104056437389772,4050.0,2430.0
3700   LINDELL BLVD,Green Roof,2630400,2,1615.05,54070.899999999994,19.13108395582622,4037.625,2422.575
4926   MARYLAND PLAZA,Green Roof,1559500,2,1595.3999999999999,53717.2,19.240029370153476,3988.4999999999995,2393.1
6607   CHIPPEWA ST,Green Roof,345600,1,1593.6,53684.8,19.250143430866327,3984.0,2390.3999999999996
5730   ELIZABETH AV,Green Roof,340600,2,1590.75,53633.5,19.26620417143755,3976.875,2386.125
3915   WATSON RD,Green Roof,508400,2,1581.3,53463.399999999994,19.319872437686893,3953.25,2371.95
101  S 9TH ST,Green Roof,5440000,3,1580.3,53445.399999999994,19.32558917384583,3950.75,2370.45
4251   FOREST PARK AV,Green Roof,322800,2,1576.2,53371.600000000006,19.349103630793774,3940.5,2364.3
1517  S 8TH ST,Green Roof,389800,2,1575.0,53350.0,19.356009070294785,3937.5,2362.5
5558   ENRIGHT AV,Green Roof,287100,3,1561.8999999999999,53114.2,19.432083634401323,3904.7499999999995,2342.85
6001   CHIPPEWA ST,Green Roof,286000,1,1548.0,52864.0,19.51421188630491,3870.0,2322.0
7350   GRAVOIS AV,Green Roof,287700,1,1545.8999999999999,52826.2,19.52674817258555,3864.7499999999995,2318.85
25   DOCK ST,Green Roof,341500,2,1544.3999999999999,52799.2,19.535723535723537,3860.9999999999995,2316.6
4214   FOREST PARK AV,Green Roof,927400,2,1542.3,52761.399999999994,19.548318374227726,3855.75,2313.45
8500   HALL ST,Green Roof,641400,2,1542.0,52756.0,19.550120437279972,3855.0,2313.0
2144   MARKET ST,Green Roof,406100,3,1539.6,52712.8,19.564562223954276,3849.0,2309.3999999999996
4222   HAMPTON AV,Green Roof,282900,1,1530.0,52540.0,19.62278244631186,3825.0,2295.0
4251   WEST PINE BLVD,Green Roof,1137200,2,1527.45,52494.100000000006,19.638370206179303,3818.625,2291.175
2207   SCOTT AV,Green Roof,328600,1,1524.0,52432.0,19.65954255718035,3810.0,2286.0
3001   LOCUST BLVD,Green Roof,567000,2,1518.75,52337.5,19.691945914168137,3796.875,2278.125
2060   HAMPTON AV,Green Roof,364000,1,1512.6,52226.8,19.730190211745153,3781.5,2268.8999999999996
4500   GOODFELLOW BLVD,Green Roof,550700,2,1512.0,52216.0,19.733938019652307,3780.0,2268.0
4600   GOODFELLOW BLVD,Green Roof,635700,2,1512.0,52216.0,19.733938019652307,3780.0,2268.0
3801   HAMPTON AV,Green Roof,419100,1,1500.0,52000.0,19.80952380952381,3750.0,2250.0
4200  S KINGSHIGHWAY BLVD,Green Roof,395400,1,1499.1,51983.8,19.815241525867904,3747.75,2248.6499999999996
1308  N 7TH ST,Green Roof,285100,3,1493.8,51888.399999999994,19.849052273205437,3734.5,2240.7
5600   WEST PARK AV,Green Roof,282400,2,1482.0,51676.0,19.925197609408137,3705.0,2223.0
525  S JEFFERSON AV,Green Roof,2441100,3,1474.5,51541.0,19.974228552051542,3686.25,2211.75
